text,label
Are you real? please,casual_botinfo
Locate a park nearby please,help_location
Show me nearby restaurants please,help_location
THERE’S A FIRE!,help_emergency
Can you tell me Hello!?,casual_smalltalk
Who’s your developer? please,casual_botinfo
Can you tell me How are you??,casual_smalltalk
how does wifi work?,info_general
"Hey, Where are you from?",casual_botinfo
"Hey, Tell me today’s date",help_condition
there’s been an accident!,help_emergency
ARE YOU HUMAN?,casual_botinfo
"Hey, Howdy!",casual_smalltalk
explain photosynthesis,info_general
Locate a petrol station,help_location
"Hey, Someone’s breaking in!",help_emergency
are you ai?,casual_botinfo
where are you from?,casual_botinfo
Can you tell me What language are you coded in??,casual_botinfo
Are you updated?,casual_botinfo
LONG TIME NO SEE,casual_smalltalk
"Hey, Find a clinic near me",help_location
What’s the temperature right now? please,help_condition
Who built you?!,casual_botinfo
Can you tell me Show me nearby restaurants?,help_location
show me nearby restaurants,help_location
"Hey, Show me the closest hotel",help_location
What is the speed of light?!,info_general
Locate the nearest ATM please,help_location
HOW DOES WIFI WORK?,info_general
Locate the nearest ATM!,help_location
Can you tell me Hi?,casual_smalltalk
Show me the closest hotel!,help_location
I’m in danger!!,help_emergency
GOOD MORNING,casual_smalltalk
where can i find a doctor?,help_location
How does GPS work?,info_general
locate a park nearby,help_location
Can you tell me What’s the forecast??,help_condition
Show me the nearest police station!,help_location
what’s the humidity?,help_condition
Locate a park nearby please,help_location
What can you do? please,casual_botinfo
Are you updated?!,casual_botinfo
What’s the humidity?!,help_condition
"Please hurry, I need help! please",help_emergency
Find me a gas station please,help_location
What is blockchain?,info_general
How’s life?,casual_smalltalk
define machine learning,info_general
When were you made? please,casual_botinfo
Who built you?,casual_botinfo
Can you tell me How does WiFi work??,info_general
what season is it?,help_condition
There’s been an accident!!,help_emergency
Call an ambulance!,help_emergency
Hey you,casual_smalltalk
What time is it?,help_condition
who made you?,casual_botinfo
How does GPS work? please,info_general
Call an ambulance!!,help_emergency
"Hey, Explain relativity",info_general
WHAT’S THE TEMPERATURE RIGHT NOW?,help_condition
What is nanotechnology?,info_general
is it snowing?,help_condition
Can you tell me Explain photosynthesis?,info_general
Can you tell me Good morning?,casual_smalltalk
"Hey, Where can I find a doctor?",help_location
What can you do?,casual_botinfo
TELL ME THE DATE,help_condition
ARE YOU UPDATED?,casual_botinfo
"Hey, How does a computer work?",info_general
Can you tell me Explain relativity?,info_general
THERE’S A FIRE!,help_emergency
I NEED MEDICAL ASSISTANCE!,help_emergency
HOW DOES GPS WORK?,info_general
WHO IS THE PRESIDENT OF FRANCE?,info_general
Can you tell me How are you??,casual_smalltalk
How does a computer work? please,info_general
how does wifi work?,info_general
Can you tell me Is it hot today??,help_condition
When were you made?,casual_botinfo
Is it hot today? please,help_condition
Hi bot!,casual_smalltalk
"Hey, Who built you?",casual_botinfo
why is the sky blue?,info_general
Where can I get food nearby? please,help_location
DO YOU HAVE A NAME?,casual_botinfo
how’s it going?,casual_smalltalk
What time is sunset?!,help_condition
Can you tell me There’s been an accident!?,help_emergency
FIND A COFFEE SHOP NEAR ME,help_location
"Hey, Find a coffee shop near me",help_location
"Hey, Locate the nearest ATM",help_location
WHO BUILT YOU?,casual_botinfo
Where is the nearest hospital?!,help_location
Can you tell me Are you AI??,casual_botinfo
Can you tell me Emergency! Please help!?,help_emergency
Where is the library?,help_location
Tell me about gravity please,info_general
Can you tell me I’ve been robbed!?,help_emergency
Can you tell me Do you think like a human??,casual_botinfo
What are you doing?!,casual_smalltalk
What day is it?!,help_condition
What is blockchain? please,info_general
FIND A COFFEE SHOP NEAR ME,help_location
WHAT’S UP?,casual_smalltalk
Help! I’m hurt! please,help_emergency
"Hey, Do you know your creator?",casual_botinfo
What’s the local time in Tokyo? please,help_condition
what time is it in new york?,help_condition
What’s the temperature right now?!,help_condition
find me a gas station,help_location
"Hey, What’s the temperature right now?",help_condition
"Hey, Who invented electricity?",info_general
Do you know your creator?,casual_botinfo
Are you updated?,casual_botinfo
where’s the nearest bank?,help_location
Emergency! Please help!!,help_emergency
locate the nearest atm,help_location
What’s tomorrow’s weather?,help_condition
TELL ME ABOUT GRAVITY,info_general
Hey you,casual_smalltalk
nice to see you,casual_smalltalk
Good morning please,casual_smalltalk
What can you do?,casual_botinfo
"Hey, Locate a petrol station",help_location
Who created you? please,casual_botinfo
"Hey, I need medical assistance!",help_emergency
are you a chatbot?,casual_botinfo
CALL AN AMBULANCE!,help_emergency
Locate the nearest post office,help_location
WHERE CAN I GET GROCERIES?,help_location
Are you updated? please,casual_botinfo
locate the nearest atm,help_location
Is it windy today? please,help_condition
Tell me about the solar system!,info_general
DO YOU THINK LIKE A HUMAN?,casual_botinfo
are you ai?,casual_botinfo
I’M BLEEDING!,help_emergency
Who made you?,casual_botinfo
Can you tell me How are you??,casual_smalltalk
Can you tell me What version are you??,casual_botinfo
Define machine learning,info_general
Do you know your creator?!,casual_botinfo
Can you tell me Hey there?,casual_smalltalk
What is blockchain?,info_general
Yo!,casual_smalltalk
how does wifi work?,info_general
explain relativity,info_general
When were you made? please,casual_botinfo
What’s the weather today?!,help_condition
WHAT IS THE SPEED OF LIGHT?,info_general
What’s the local time in Tokyo?!,help_condition
Good evening,casual_smalltalk
"Hey, Tell me about the solar system",info_general
Can you tell me There’s a fire!?,help_emergency
HEY BUDDY,casual_smalltalk
"Hey, Hi bot",casual_smalltalk
Where is the train station? please,help_location
Someone is following me!,help_emergency
Is it cold outside? please,help_condition
"Hey, What version are you?",casual_botinfo
Hey there please,casual_smalltalk
Define machine learning,info_general
EMERGENCY! PLEASE HELP!,help_emergency
HOW’S LIFE?,casual_smalltalk
"Hey, Show me the closest hotel",help_location
what language are you coded in?,casual_botinfo
How’s it going? please,casual_smalltalk
I’m lost!,help_emergency
Long time no see please,casual_smalltalk
"Hey, Who programmed you?",casual_botinfo
"Hey, What day is it?",help_condition
Are you a chatbot?!,casual_botinfo
Hi bot!,casual_smalltalk
WHERE CAN I GET GROCERIES?,help_location
who created you?,casual_botinfo
"Hey, Tell me about the solar system",info_general
"Hey, How have you been?",casual_smalltalk
where can i get food nearby?,help_location
Locate the nearest post office please,help_location
What’s the forecast? please,help_condition
I NEED MEDICAL ASSISTANCE!,help_emergency
I can’t breathe! please,help_emergency
What is quantum computing?!,info_general
Can you tell me I’m lost!?,help_emergency
what’s up?,casual_smalltalk
hi,casual_smalltalk
is it going to rain today?,help_condition
hi bot,casual_smalltalk
Can you tell me Tell me about yourself?,casual_botinfo
Find a coffee shop near me!,help_location
GOOD EVENING,casual_smalltalk
ARE YOU UPDATED?,casual_botinfo
Hi,casual_smalltalk
Explain photosynthesis,info_general
"Hey, Good afternoon",casual_smalltalk
"Hey, Tell me about gravity",info_general
WHAT’S TOMORROW’S WEATHER?,help_condition
What season is it?,help_condition
Show me nearby restaurants please,help_location
DO YOU THINK LIKE A HUMAN?,casual_botinfo
Show me the nearest police station!,help_location
what’s the forecast?,help_condition
WHO MADE YOU?,casual_botinfo
Can you tell me Help! I’m hurt!?,help_emergency
"please hurry, i need help!",help_emergency
What is climate change?,info_general
Tell me today’s date!,help_condition
"Hey, Is it cold outside?",help_condition
how’s the weather outside?,help_condition
Hello!,casual_smalltalk
Can you tell me How’s it going??,casual_smalltalk
What is the speed of light? please,info_general
"Hey, Are you a chatbot?",casual_botinfo
EXPLAIN RELATIVITY,info_general
Explain relativity,info_general
Are you a chatbot?!,casual_botinfo
Hi bot!,casual_smalltalk
What’s tomorrow’s weather?!,help_condition
Can you tell me Yo!?,casual_smalltalk
is it snowing?,help_condition
"Hey, Are you AI?",casual_botinfo
Hi please,casual_smalltalk
I’m bleeding!,help_emergency
WHEN IS SUNRISE?,help_condition
"Hey, Call the police!",help_emergency
Where is the train station? please,help_location
Hi bot please,casual_smalltalk
Yo!!,casual_smalltalk
WHAT LANGUAGE ARE YOU CODED IN?,casual_botinfo
Hello!,casual_smalltalk
Can you tell me Emergency! Please help!?,help_emergency
What language are you coded in?,casual_botinfo
WHEN IS SUNRISE?,help_condition
when were you made?,casual_botinfo
"Hey, Are you updated?",casual_botinfo
Where can I get food nearby?,help_location
IS IT HOT TODAY?,help_condition
What are black holes?,info_general
I can’t breathe! please,help_emergency
FIND ME A GAS STATION,help_location
HOW’S IT GOING?,casual_smalltalk
Why is the sky blue?,info_general
Can you tell me I’m lost!?,help_emergency
My house is on fire! please,help_emergency
Can you tell me I’m bleeding!?,help_emergency
where’s the nearest bank?,help_location
Can you tell me When were you made??,casual_botinfo
"Hey, Someone is following me!",help_emergency
How have you been?!,casual_smalltalk
Who is the president of France? please,info_general
WHERE’S THE BUS STOP?,help_location
call an ambulance!,help_emergency
Can you tell me What can you do??,casual_botinfo
"Hey, Where can I get groceries?",help_location
Where can I get groceries? please,help_location
IS IT SNOWING?,help_condition
Yo!,casual_smalltalk
Are you AI?!,casual_botinfo
WHAT CAN YOU DO?,casual_botinfo
Is it hot today? please,help_condition
Can you tell me What version are you??,casual_botinfo
"Hey, Locate a petrol station",help_location
"Hey, Is it windy today?",help_condition
WHAT IS BLOCKCHAIN?,info_general
Is it going to rain today?,help_condition
WHO BUILT YOU?,casual_botinfo
tell me about the solar system,info_general
Howdy!,casual_smalltalk
Nice to see you,casual_smalltalk
When were you made? please,casual_botinfo
"Hey, What’s the forecast?",help_condition
There’s been an accident!!,help_emergency
please help me!,help_emergency
I can’t breathe!!,help_emergency
Hey you,casual_smalltalk
WHAT IS CLIMATE CHANGE?,info_general
Where is the nearest hospital? please,help_location
Show me the nearest police station,help_location
"Hey, Please help me!",help_emergency
Locate the nearest post office!,help_location
"Hey, Good evening",casual_smalltalk
Hi!,casual_smalltalk
How are you?!,casual_smalltalk
DO YOU HAVE A NAME?,casual_botinfo
Yo! please,casual_smalltalk
locate a park nearby,help_location
Can you tell me Who made you??,casual_botinfo
i’ve been robbed!,help_emergency
i’m in danger!,help_emergency
MY HOUSE IS ON FIRE!,help_emergency
Why is the sky blue? please,info_general
HI,casual_smalltalk
"Hey, What season is it?",help_condition
How’s the weather outside?!,help_condition
IS IT GOING TO RAIN TODAY?,help_condition
Tell me about the solar system!,info_general
find me a gas station,help_location
WHEN DID THE INTERNET START?,info_general
help! i’m hurt!,help_emergency
"Please hurry, I need help! please",help_emergency
Hello! please,casual_smalltalk
Can you tell me What’s the forecast??,help_condition
WHAT’S THE TEMPERATURE RIGHT NOW?,help_condition
Can you tell me Hey there?,casual_smalltalk
"Hey, What version are you?",casual_botinfo
Tell me about the solar system!,info_general
GOOD AFTERNOON,casual_smalltalk
Hi!,casual_smalltalk
WHO CREATED YOU?,casual_botinfo
"Hey, Where’s the nearest bank?",help_location
Can you tell me Hi?,casual_smalltalk
I THINK I’M HAVING A HEART ATTACK!,help_emergency
what’s the capital of japan?,info_general
What time is sunset?,help_condition
how does wifi work?,info_general
is it cold outside?,help_condition
Do you know your creator?!,casual_botinfo
can you tell me what you are?,casual_botinfo
Emergency! Please help!!,help_emergency
Long time no see!,casual_smalltalk
What’s the temperature right now?,help_condition
Long time no see,casual_smalltalk
Can you tell me How have you been??,casual_smalltalk
"Hey, Do you have a name?",casual_botinfo
WHAT IS BLOCKCHAIN?,info_general
HELP! I’M HURT!,help_emergency
WHAT TIME IS IT IN NEW YORK?,help_condition
"Hey, Show me the closest hotel",help_location
where can i get food nearby?,help_location
Are you a chatbot?!,casual_botinfo
Who is the president of France?,info_general
"Hey, Where is the library?",help_location
Can you tell me What is climate change??,info_general
locate the nearest post office,help_location
how are you?,casual_smalltalk
TELL ME ABOUT GRAVITY,info_general
Where is the train station?,help_location
tell me today’s date,help_condition
Someone’s breaking in!,help_emergency
"Hey, When did the internet start?",info_general
Locate the nearest post office,help_location
call the police!,help_emergency
WHERE’S THE NEAREST BANK?,help_location
FIND ME A PHARMACY,help_location
"Hey, Locate a petrol station",help_location
DO YOU KNOW YOUR CREATOR?,casual_botinfo
Can you tell me Who made you??,casual_botinfo
"Hey, What time is it?",help_condition
Can you tell me I’m in danger!?,help_emergency
Locate the nearest post office!,help_location
Good afternoon!,casual_smalltalk
"Hey, Find me a pharmacy",help_location
Can you tell me I think I’m having a heart attack!?,help_emergency
"Hey, What’s the temperature right now?",help_condition
HOW DOES WIFI WORK?,info_general
Can you tell me Where is the train station??,help_location
Are you AI?!,casual_botinfo
do you have a name?,casual_botinfo
"Hey, Define machine learning",info_general
I’m in danger! please,help_emergency
How’s it going?!,casual_smalltalk
"Hey, What version are you?",casual_botinfo
HOW DOES GPS WORK?,info_general
What’s up? please,casual_smalltalk
Do you think like a human? please,casual_botinfo
I think I’m having a heart attack! please,help_emergency
Can you tell me Hey there?,casual_smalltalk
What’s the humidity?,help_condition
Find a coffee shop near me please,help_location
What time is sunset?,help_condition
Can you tell me Emergency! Please help!?,help_emergency
"Hey, Do you think like a human?",casual_botinfo
WHAT ARE BLACK HOLES?,info_general
Can you tell me Explain photosynthesis?,info_general
Hello! please,casual_smalltalk
"Can you tell me Please hurry, I need help!?",help_emergency
when were you made?,casual_botinfo
Can you tell me What is quantum computing??,info_general
"Hey, Hey buddy",casual_smalltalk
Find a coffee shop near me!,help_location
Do you think like a human?!,casual_botinfo
Can you tell me Please help me!?,help_emergency
Can you tell me How are you??,casual_smalltalk
Who created you?,casual_botinfo
"Hey, Explain relativity",info_general
Someone is following me!,help_emergency
What’s up?!,casual_smalltalk
HEY THERE,casual_smalltalk
Tell me today’s date,help_condition
Why is the sky blue? please,info_general
What day is it?,help_condition
Tell me the date,help_condition
"Hey, There’s been an accident!",help_emergency
WHAT’S THE FORECAST?,help_condition
What is quantum computing? please,info_general
I’m lost!,help_emergency
Tell me today’s date please,help_condition
Can you tell me Where is the train station??,help_location
When did the internet start?,info_general
do you have a name?,casual_botinfo
HELP! I’M HURT!,help_emergency
Can you tell me Are you AI??,casual_botinfo
"Hey, Where is the library?",help_location
Are you human? please,casual_botinfo
Call the police!!,help_emergency
Can you tell me How are you??,casual_smalltalk
How’s life? please,casual_smalltalk
Are you real? please,casual_botinfo
WHAT IS QUANTUM COMPUTING?,info_general
"Hey, What’s the temperature right now?",help_condition
"Hey, Hi",casual_smalltalk
Hey you!,casual_smalltalk
Can you tell me Who made you??,casual_botinfo
Are you updated? please,casual_botinfo
locate a park nearby,help_location
FIND A CLINIC NEAR ME,help_location
What are black holes?,info_general
Who is the president of France?!,info_general
DO YOU KNOW YOUR CREATOR?,casual_botinfo
WHAT’S THE HUMIDITY?,help_condition
Can you tell me What time is it??,help_condition
Who made you? please,casual_botinfo
"Hey, Are you real?",casual_botinfo
Can you tell me Who built you??,casual_botinfo
Call emergency services!,help_emergency
My house is on fire! please,help_emergency
"Hey, Are you AI?",casual_botinfo
Locate the nearest post office,help_location
"Hey, How does a computer work?",info_general
Can you tell me What’s the capital of Japan??,info_general
Can you tell me Good morning?,casual_smalltalk
"Hey, Hey buddy",casual_smalltalk
"Hey, Is it hot today?",help_condition
What’s tomorrow’s weather?,help_condition
Is it hot today? please,help_condition
Can you tell me Is it windy today??,help_condition
Locate a park nearby!,help_location
"Hey, Tell me about the solar system",info_general
Are you real?,casual_botinfo
Hey buddy please,casual_smalltalk
Can you tell me What is blockchain??,info_general
Hey buddy please,casual_smalltalk
What’s the humidity?,help_condition
"Hey, What’s up?",casual_smalltalk
"Hey, How’s it going?",casual_smalltalk
There’s been an accident! please,help_emergency
call emergency services!,help_emergency
Where’s the bus stop? please,help_location
"Hey, Where is the nearest hospital?",help_location
Can you tell me Who made you??,casual_botinfo
Can you tell me Who made you??,casual_botinfo
WHAT SEASON IS IT?,help_condition
"Hey, How’s the weather outside?",help_condition
Howdy!,casual_smalltalk
What is climate change?!,info_general
"Hey, Where is the train station?",help_location
I need medical assistance!,help_emergency
What’s the humidity? please,help_condition
Can you tell me Help! I’m hurt!?,help_emergency
Good evening please,casual_smalltalk
What’s the forecast? please,help_condition
"Please hurry, I need help! please",help_emergency
show me the closest hotel,help_location
What is blockchain?!,info_general
WHAT’S THE WEATHER TODAY?,help_condition
Can you tell me How’s life??,casual_smalltalk
"Please hurry, I need help!!",help_emergency
who’s your developer?,casual_botinfo
what are black holes?,info_general
Do you have a name?,casual_botinfo
Tell me today’s date please,help_condition
Hello! please,casual_smalltalk
What language are you coded in?!,casual_botinfo
Can you tell me Good morning?,casual_smalltalk
howdy!,casual_smalltalk
SHOW ME THE NEAREST POLICE STATION,help_location
"Please hurry, I need help!",help_emergency
hey you,casual_smalltalk
I’ve been robbed! please,help_emergency
help! i’m hurt!,help_emergency
DO YOU THINK LIKE A HUMAN?,casual_botinfo
How are you?,casual_smalltalk
HOW ARE YOU?,casual_smalltalk
when were you made?,casual_botinfo
"Hey, Someone’s breaking in!",help_emergency
Find a coffee shop near me!,help_location
Where is the train station? please,help_location
Hey buddy please,casual_smalltalk
when did the internet start?,info_general
MY HOUSE IS ON FIRE!,help_emergency
What’s the capital of Japan?!,info_general
CAN YOU TELL ME WHAT YOU ARE?,casual_botinfo
"Hey, What’s the humidity?",help_condition
Find a coffee shop near me please,help_location
Why is the sky blue?!,info_general
"Hey, Someone is following me!",help_emergency
hey you,casual_smalltalk
what season is it?,help_condition
please help me!,help_emergency
Call emergency services! please,help_emergency
Is it cold outside? please,help_condition
There’s a fire!!,help_emergency
What time is sunset?!,help_condition
what is climate change?,info_general
locate a petrol station,help_location
"Hey, Where can I find a doctor?",help_location
Can you tell me What’s the temperature right now??,help_condition
Can you tell me Find a clinic near me?,help_location
What’s the temperature right now?,help_condition
What’s the local time in Tokyo?,help_condition
LOCATE A PARK NEARBY,help_location
"Hey, What time is it?",help_condition
Hi bot please,casual_smalltalk
Send help quickly! please,help_emergency
Who made you?!,casual_botinfo
"Hey, Hey you",casual_smalltalk
Show me nearby restaurants please,help_location
"Hey, Hey buddy",casual_smalltalk
LOCATE A PETROL STATION,help_location
Can you tell me Howdy!?,casual_smalltalk
Who programmed you? please,casual_botinfo
Where can I find a doctor?!,help_location
what is quantum computing?,info_general
"Hey, Explain relativity",info_general
Hi!,casual_smalltalk
WHERE CAN I FIND A DOCTOR?,help_location
i think i’m having a heart attack!,help_emergency
There’s been an accident! please,help_emergency
Do you think like a human?,casual_botinfo
what is climate change?,info_general
"Hey, Are you AI?",casual_botinfo
When is sunrise? please,help_condition
"Hey, How’s life?",casual_smalltalk
EMERGENCY! PLEASE HELP!,help_emergency
What time is it? please,help_condition
"Hey, How does GPS work?",info_general
Can you tell me Show me nearby restaurants?,help_location
"Hey, What’s the humidity?",help_condition
"Hey, Find a restaurant near me",help_location
What’s tomorrow’s weather? please,help_condition
Can you tell me Are you a chatbot??,casual_botinfo
FIND A CLINIC NEAR ME,help_location
Someone’s breaking in!!,help_emergency
what is the speed of light?,info_general
FIND A RESTAURANT NEAR ME,help_location
When is sunrise?,help_condition
HOW DOES A COMPUTER WORK?,info_general
"Hey, Nice to see you",casual_smalltalk
TELL ME ABOUT THE SOLAR SYSTEM,info_general
What’s up?,casual_smalltalk
WHAT IS THE SPEED OF LIGHT?,info_general
Hey you,casual_smalltalk
